availability_of_water,location,distant_from_school,room_type,apartment_type,price
yes,Hawa dawai ke,5,self contain,duplex,191336
yes,Hawa dawai ke,15,single room,bungalow,145445
yes,Danbare,5,single room,duplex,108433
yes,Jabulo,5,self contain,duplex,101013
yes,Hawa dawai ke,10,self contain,bungalow,162334
yes,Hawa dawai ke,5,single room,duplex,106338
yes,Danbare,10,self contain,bungalow,156616
yes,Jabulo,5,single room,bungalow,102780
yes,Danbare,15,self contain,bungalow,124980
yes,Hawa dawai ke,5,single room,bungalow,117590
yes,Rimi gata,15,single room,duplex,149819
yes,Danbare,15,self contain,bungalow,132764
yes,Rimi gata,5,self contain,bungalow,177631
yes,Hawa dawai ke,15,single room,bungalow,113781
yes,Jabulo,10,single room,duplex,137673
yes,Jabulo,15,single room,duplex,109200
yes,Jabulo,10,single room,duplex,141750
yes,Hawa dawai ke,15,self contain,duplex,155242
yes,Jabulo,5,single room,duplex,116344
yes,Jabulo,10,self contain,bungalow,127926
yes,Danbare,15,single room,bungalow,121283
yes,Jabulo,15,single room,duplex,135401
yes,Jabulo,10,self contain,bungalow,195541
yes,Hawa dawai ke,10,self contain,duplex,126812
yes,Rimi gata,15,single room,duplex,140605
yes,Danbare,15,self contain,bungalow,187964
yes,Rimi gata,15,single room,duplex,120408
yes,Jabulo,5,single room,bungalow,123117
yes,Danbare,15,single room,bungalow,101314
yes,Hawa dawai ke,15,self contain,duplex,115740
yes,Hawa dawai ke,5,self contain,duplex,188138
yes,Hawa dawai ke,15,self contain,duplex,190291
yes,Rimi gata,5,self contain,bungalow,124326
yes,Rimi gata,5,single room,bungalow,106150
yes,Jabulo,15,self contain,duplex,195520
yes,Rimi gata,5,single room,duplex,134853
yes,Rimi gata,15,self contain,bungalow,147697
yes,Rimi gata,10,self contain,bungalow,216671
yes,Hawa dawai ke,5,self contain,bungalow,190055
yes,Danbare,15,self contain,duplex,226762
yes,Hawa dawai ke,15,self contain,bungalow,163026
yes,Hawa dawai ke,15,self contain,bungalow,236722
yes,Hawa dawai ke,10,self contain,bungalow,133087
yes,Hawa dawai ke,15,self contain,duplex,243159
yes,Hawa dawai ke,5,single room,duplex,148511
yes,Danbare,15,single room,bungalow,143638
yes,Danbare,10,self contain,duplex,221899
yes,Jabulo,15,single room,bungalow,138347
yes,Rimi gata,10,single room,duplex,134982
yes,Jabulo,15,single room,duplex,107516
yes,Jabulo,10,single room,bungalow,121797
yes,Hawa dawai ke,15,single room,bungalow,116312
yes,Danbare,15,single room,duplex,139597
yes,Rimi gata,5,single room,duplex,146900
yes,Danbare,15,self contain,bungalow,235326
yes,Jabulo,15,self contain,bungalow,132928
yes,Danbare,10,self contain,bungalow,109746
yes,Jabulo,5,self contain,duplex,190928
yes,Danbare,5,self contain,duplex,215700
yes,Danbare,10,self contain,bungalow,197808
yes,Hawa dawai ke,5,single room,bungalow,101493
yes,Danbare,10,single room,duplex,111179
yes,Rimi gata,5,self contain,duplex,171163
yes,Rimi gata,15,single room,bungalow,115465
yes,Jabulo,10,single room,duplex,147488
yes,Danbare,5,single room,duplex,106462
yes,Rimi gata,15,self contain,duplex,231527
yes,Rimi gata,5,self contain,duplex,157743
yes,Hawa dawai ke,5,self contain,duplex,139818
yes,Hawa dawai ke,15,self contain,duplex,156155
yes,Rimi gata,5,self contain,duplex,210419
yes,Hawa dawai ke,5,self contain,bungalow,174462
yes,Danbare,10,self contain,duplex,219036
yes,Hawa dawai ke,10,single room,bungalow,117665
yes,Rimi gata,10,single room,bungalow,118980
yes,Danbare,15,single room,duplex,119687
yes,Rimi gata,15,self contain,duplex,174521
yes,Hawa dawai ke,15,self contain,duplex,226276
yes,Jabulo,5,single room,bungalow,119312
yes,Hawa dawai ke,10,single room,duplex,112234
yes,Danbare,10,self contain,duplex,216879
yes,Hawa dawai ke,5,self contain,bungalow,123878
yes,Jabulo,5,single room,duplex,134786
yes,Jabulo,10,single room,bungalow,107861
yes,Jabulo,10,self contain,bungalow,239990
yes,Jabulo,10,single room,duplex,147443
yes,Jabulo,5,single room,bungalow,142775
yes,Jabulo,5,self contain,duplex,106168
yes,Rimi gata,15,self contain,bungalow,185462
yes,Danbare,5,self contain,bungalow,186508
yes,Danbare,10,self contain,bungalow,169353
yes,Rimi gata,15,self contain,duplex,189909
yes,Hawa dawai ke,15,self contain,bungalow,228892
yes,Hawa dawai ke,5,self contain,duplex,229143
yes,Rimi gata,15,self contain,duplex,169988
yes,Jabulo,5,self contain,duplex,200378
yes,Danbare,15,self contain,bungalow,135599
yes,Jabulo,10,self contain,bungalow,212928
yes,Danbare,10,single room,bungalow,149724
yes,Jabulo,10,single room,bungalow,111048
yes,Rimi gata,15,single room,bungalow,121312
yes,Rimi gata,10,self contain,bungalow,203470
yes,Danbare,10,single room,duplex,133158
yes,Hawa dawai ke,15,self contain,duplex,197593
yes,Rimi gata,15,single room,duplex,126459
yes,Hawa dawai ke,5,single room,duplex,119399
yes,Hawa dawai ke,15,single room,duplex,122339
yes,Rimi gata,5,self contain,duplex,157592
yes,Danbare,15,single room,duplex,130825
yes,Danbare,15,single room,duplex,110112
yes,Danbare,10,self contain,duplex,195276
yes,Jabulo,5,self contain,bungalow,107472
yes,Hawa dawai ke,15,self contain,bungalow,132273
yes,Hawa dawai ke,10,self contain,duplex,242016
yes,Hawa dawai ke,5,self contain,duplex,183258
yes,Jabulo,5,single room,bungalow,120399
yes,Hawa dawai ke,5,single room,bungalow,121705
yes,Hawa dawai ke,15,single room,duplex,114229
yes,Jabulo,10,single room,bungalow,123427
yes,Hawa dawai ke,10,self contain,bungalow,194159
yes,Jabulo,15,single room,bungalow,118699
yes,Danbare,15,self contain,duplex,175051
yes,Hawa dawai ke,15,single room,bungalow,105017
yes,Jabulo,15,self contain,duplex,235659
yes,Danbare,15,single room,duplex,105146
yes,Rimi gata,5,single room,duplex,109395
yes,Rimi gata,15,self contain,bungalow,213769
yes,Jabulo,10,self contain,duplex,126213
yes,Rimi gata,5,single room,duplex,121442
yes,Danbare,10,self contain,bungalow,117798
yes,Jabulo,5,self contain,duplex,206677
yes,Jabulo,10,single room,bungalow,104591
yes,Danbare,5,single room,duplex,123041
yes,Rimi gata,15,single room,duplex,114258
yes,Hawa dawai ke,5,self contain,bungalow,190052
yes,Jabulo,5,single room,duplex,116092
yes,Rimi gata,15,single room,duplex,140189
yes,Rimi gata,5,self contain,duplex,133404
yes,Jabulo,15,self contain,duplex,210304
yes,Rimi gata,15,self contain,bungalow,245289
yes,Danbare,5,self contain,bungalow,104735
yes,Hawa dawai ke,5,self contain,bungalow,240527
yes,Danbare,5,self contain,duplex,135948
yes,Jabulo,15,self contain,duplex,149769
yes,Rimi gata,15,single room,duplex,127850
yes,Danbare,15,self contain,bungalow,150553
yes,Jabulo,15,self contain,bungalow,231427
yes,Hawa dawai ke,5,single room,duplex,117257
yes,Danbare,5,single room,duplex,149585
yes,Jabulo,5,self contain,bungalow,123698
yes,Jabulo,5,single room,duplex,112720
yes,Jabulo,15,single room,bungalow,111287
yes,Rimi gata,5,single room,bungalow,112497
yes,Danbare,15,self contain,duplex,114549
yes,Rimi gata,5,single room,bungalow,127863
yes,Jabulo,15,single room,duplex,139825
yes,Rimi gata,5,self contain,duplex,230939
yes,Hawa dawai ke,15,single room,bungalow,116331
yes,Jabulo,15,self contain,duplex,202706
yes,Jabulo,15,single room,duplex,111086
yes,Danbare,10,self contain,duplex,189254
yes,Hawa dawai ke,15,self contain,bungalow,195394
yes,Jabulo,10,self contain,bungalow,202998
yes,Jabulo,5,self contain,bungalow,147323
yes,Hawa dawai ke,10,self contain,bungalow,174095
yes,Danbare,15,single room,bungalow,121717
yes,Jabulo,5,self contain,duplex,215252
yes,Danbare,15,self contain,bungalow,245897
yes,Hawa dawai ke,5,self contain,duplex,167134
yes,Jabulo,15,single room,duplex,147656
yes,Danbare,10,self contain,duplex,211462
yes,Jabulo,5,self contain,duplex,110813
yes,Hawa dawai ke,5,self contain,bungalow,112792
yes,Danbare,5,self contain,bungalow,131740
yes,Jabulo,5,single room,bungalow,148287
yes,Jabulo,10,single room,bungalow,128368
yes,Hawa dawai ke,10,single room,duplex,115581
yes,Rimi gata,10,single room,duplex,100182
yes,Danbare,5,single room,duplex,131614
yes,Jabulo,15,single room,duplex,125103
yes,Hawa dawai ke,10,single room,duplex,149508
yes,Rimi gata,15,single room,bungalow,117758
yes,Rimi gata,15,single room,duplex,129325
yes,Danbare,5,self contain,duplex,144211
yes,Danbare,10,single room,bungalow,140027
yes,Hawa dawai ke,15,self contain,bungalow,109126
yes,Hawa dawai ke,15,single room,bungalow,147729
yes,Rimi gata,15,single room,bungalow,128074
yes,Hawa dawai ke,15,self contain,duplex,157137
yes,Danbare,15,single room,duplex,102700
yes,Jabulo,5,single room,bungalow,102977
yes,Rimi gata,10,single room,bungalow,112715
yes,Rimi gata,15,self contain,bungalow,135917
yes,Hawa dawai ke,15,single room,bungalow,111748
yes,Rimi gata,5,single room,bungalow,127368
yes,Danbare,15,single room,duplex,109578
yes,Hawa dawai ke,15,self contain,duplex,194809
yes,Hawa dawai ke,15,self contain,bungalow,105575
yes,Rimi gata,5,self contain,bungalow,186726
yes,Rimi gata,5,self contain,duplex,148832
yes,Danbare,15,single room,bungalow,102015
yes,Rimi gata,15,self contain,bungalow,180904
yes,Jabulo,10,single room,bungalow,127665
yes,Danbare,5,self contain,bungalow,232366
yes,Danbare,5,single room,duplex,115022
yes,Jabulo,5,self contain,bungalow,139444
yes,Danbare,10,single room,bungalow,143429
yes,Jabulo,10,single room,bungalow,104116
yes,Jabulo,5,self contain,bungalow,209994
yes,Jabulo,15,single room,bungalow,128632
yes,Rimi gata,5,self contain,bungalow,137477
yes,Hawa dawai ke,10,self contain,bungalow,186122
yes,Jabulo,5,self contain,duplex,233727
yes,Jabulo,5,self contain,duplex,199702
yes,Hawa dawai ke,5,self contain,duplex,119614
yes,Danbare,10,self contain,duplex,196682
yes,Hawa dawai ke,15,single room,duplex,131875
yes,Jabulo,5,single room,bungalow,112733
yes,Rimi gata,15,self contain,bungalow,198740
yes,Rimi gata,10,single room,duplex,131312
yes,Danbare,10,single room,bungalow,132314
yes,Danbare,5,single room,bungalow,107409
yes,Danbare,15,single room,duplex,111553
yes,Hawa dawai ke,10,self contain,duplex,137206
yes,Rimi gata,10,single room,bungalow,106081
yes,Jabulo,15,single room,bungalow,143947
yes,Hawa dawai ke,10,self contain,bungalow,136204
yes,Rimi gata,5,self contain,bungalow,190639
yes,Jabulo,5,single room,duplex,138769
yes,Rimi gata,15,single room,bungalow,145641
yes,Danbare,10,self contain,duplex,110773
yes,Hawa dawai ke,10,single room,bungalow,133908
yes,Hawa dawai ke,10,self contain,bungalow,215859
yes,Hawa dawai ke,10,self contain,bungalow,241004
yes,Hawa dawai ke,10,self contain,duplex,102117
yes,Hawa dawai ke,10,self contain,bungalow,228655
yes,Jabulo,5,single room,bungalow,149143
yes,Rimi gata,10,self contain,bungalow,231852
yes,Rimi gata,15,self contain,duplex,197602
yes,Rimi gata,15,single room,bungalow,119560
yes,Hawa dawai ke,15,self contain,duplex,154163
yes,Rimi gata,5,single room,bungalow,121884
yes,Hawa dawai ke,15,single room,duplex,104044
yes,Jabulo,5,self contain,duplex,140866
yes,Jabulo,10,self contain,duplex,146125
yes,Jabulo,15,self contain,bungalow,191711
yes,Hawa dawai ke,10,self contain,bungalow,166563
yes,Jabulo,15,self contain,duplex,189245
yes,Hawa dawai ke,10,self contain,bungalow,189145
yes,Danbare,10,self contain,bungalow,220297
yes,Danbare,5,single room,duplex,134279
yes,Rimi gata,15,self contain,bungalow,237226
yes,Jabulo,5,self contain,bungalow,144031
yes,Jabulo,10,self contain,bungalow,143051
yes,Jabulo,5,self contain,bungalow,162150
yes,Hawa dawai ke,5,self contain,duplex,103981
yes,Jabulo,15,self contain,duplex,105963
yes,Rimi gata,10,self contain,duplex,150090
yes,Hawa dawai ke,10,self contain,bungalow,142617
yes,Danbare,10,self contain,bungalow,249567
yes,Jabulo,15,self contain,duplex,237765
yes,Danbare,15,self contain,bungalow,107085
yes,Rimi gata,5,single room,duplex,125921
yes,Danbare,5,self contain,bungalow,101599
yes,Danbare,10,single room,bungalow,133968
yes,Rimi gata,15,self contain,duplex,246928
yes,Rimi gata,10,single room,bungalow,122359
yes,Rimi gata,10,single room,bungalow,119183
yes,Danbare,15,self contain,bungalow,195286
yes,Danbare,5,single room,duplex,105376
yes,Danbare,5,single room,duplex,121433
yes,Danbare,5,single room,bungalow,122434
yes,Rimi gata,10,single room,duplex,101878
yes,Rimi gata,15,single room,duplex,105174
yes,Jabulo,10,self contain,bungalow,212171
yes,Rimi gata,5,single room,bungalow,143908
yes,Jabulo,10,self contain,duplex,137161
yes,Hawa dawai ke,10,self contain,duplex,219194
yes,Jabulo,5,single room,duplex,136171
yes,Danbare,5,single room,duplex,105943
yes,Rimi gata,5,single room,duplex,102761
yes,Danbare,5,single room,bungalow,118565
yes,Jabulo,10,self contain,bungalow,139396
yes,Danbare,15,self contain,duplex,236999
yes,Jabulo,5,self contain,duplex,221626
yes,Hawa dawai ke,15,self contain,duplex,136849
yes,Jabulo,10,single room,duplex,103980
yes,Hawa dawai ke,10,single room,bungalow,141982
yes,Jabulo,10,self contain,duplex,229844
yes,Rimi gata,15,self contain,duplex,223155
yes,Danbare,5,self contain,bungalow,199678
yes,Hawa dawai ke,10,single room,bungalow,111249
yes,Rimi gata,5,self contain,duplex,209559
yes,Jabulo,15,self contain,bungalow,119691
yes,Hawa dawai ke,10,single room,duplex,146197
yes,Jabulo,10,self contain,duplex,169272
yes,Hawa dawai ke,15,self contain,duplex,218384
yes,Hawa dawai ke,10,single room,bungalow,129184
yes,Danbare,10,self contain,bungalow,183669
yes,Rimi gata,15,self contain,duplex,189823
yes,Jabulo,10,self contain,bungalow,215909
yes,Danbare,10,self contain,duplex,159512
yes,Jabulo,5,single room,duplex,118303
yes,Jabulo,5,single room,bungalow,118228
yes,Hawa dawai ke,15,single room,bungalow,142326
yes,Danbare,5,single room,duplex,134205
yes,Hawa dawai ke,15,single room,bungalow,132720
yes,Rimi gata,15,single room,duplex,107552
yes,Rimi gata,10,single room,duplex,109548
yes,Hawa dawai ke,10,single room,duplex,147636
yes,Rimi gata,15,single room,duplex,130906
yes,Hawa dawai ke,5,self contain,duplex,148879
yes,Danbare,5,self contain,bungalow,220439
yes,Jabulo,10,single room,bungalow,142840
yes,Hawa dawai ke,10,single room,duplex,102275
yes,Hawa dawai ke,15,single room,bungalow,101252
yes,Jabulo,10,self contain,bungalow,175263
yes,Rimi gata,5,self contain,duplex,234183
yes,Jabulo,5,self contain,bungalow,130910
yes,Jabulo,10,self contain,duplex,204647
yes,Rimi gata,15,self contain,duplex,106284
yes,Jabulo,10,self contain,duplex,103649
yes,Rimi gata,15,single room,bungalow,127711
yes,Jabulo,15,single room,duplex,135549
yes,Danbare,15,self contain,bungalow,195079
yes,Hawa dawai ke,15,self contain,bungalow,115271
yes,Danbare,5,single room,duplex,133978
yes,Jabulo,15,single room,duplex,116803
yes,Hawa dawai ke,15,self contain,bungalow,147253
yes,Danbare,15,self contain,duplex,103269
yes,Rimi gata,10,single room,duplex,125048
yes,Danbare,10,single room,duplex,124439
yes,Hawa dawai ke,15,self contain,bungalow,121429
yes,Rimi gata,5,self contain,bungalow,133927
yes,Jabulo,10,single room,duplex,121573
yes,Danbare,5,self contain,bungalow,186779
yes,Hawa dawai ke,15,single room,duplex,143356
yes,Jabulo,15,self contain,duplex,150187
yes,Jabulo,5,self contain,duplex,245298
yes,Rimi gata,15,single room,duplex,117746
yes,Rimi gata,10,self contain,duplex,195474
yes,Rimi gata,15,single room,duplex,110265
yes,Rimi gata,5,single room,duplex,136449
yes,Danbare,10,self contain,duplex,170502
yes,Rimi gata,15,self contain,duplex,187274
yes,Jabulo,5,self contain,bungalow,191751
yes,Jabulo,5,single room,bungalow,116621
yes,Rimi gata,5,self contain,bungalow,124556
yes,Jabulo,15,self contain,duplex,195501
yes,Rimi gata,10,single room,bungalow,141554
yes,Hawa dawai ke,5,self contain,bungalow,244654
yes,Rimi gata,10,self contain,bungalow,233799
yes,Jabulo,15,single room,bungalow,131589
yes,Danbare,5,single room,duplex,132400
yes,Danbare,15,self contain,duplex,197822
yes,Hawa dawai ke,15,single room,duplex,133611
yes,Jabulo,15,single room,duplex,134839
yes,Danbare,5,single room,bungalow,146936
yes,Rimi gata,15,single room,duplex,140559
yes,Danbare,15,self contain,duplex,120536
yes,Rimi gata,10,self contain,bungalow,201798
yes,Rimi gata,10,self contain,duplex,115715
yes,Jabulo,15,self contain,duplex,128856
yes,Rimi gata,5,self contain,bungalow,199851
yes,Hawa dawai ke,15,single room,duplex,142692
yes,Rimi gata,15,single room,duplex,107652
yes,Rimi gata,10,self contain,bungalow,240608
yes,Jabulo,15,self contain,duplex,199078
yes,Jabulo,15,single room,bungalow,146672
yes,Hawa dawai ke,15,self contain,duplex,155204
yes,Rimi gata,5,self contain,bungalow,241549
yes,Hawa dawai ke,10,self contain,bungalow,133664
yes,Danbare,5,single room,duplex,149226
yes,Jabulo,15,self contain,bungalow,157041
yes,Rimi gata,15,single room,duplex,103100
yes,Danbare,10,self contain,bungalow,104775
yes,Hawa dawai ke,5,single room,bungalow,143049
yes,Rimi gata,5,self contain,duplex,157177
yes,Hawa dawai ke,15,self contain,bungalow,210819
yes,Danbare,15,self contain,bungalow,146081
yes,Danbare,5,self contain,bungalow,202816
yes,Jabulo,5,single room,bungalow,107311
yes,Hawa dawai ke,10,self contain,duplex,191544
yes,Jabulo,10,self contain,bungalow,208781
yes,Danbare,15,self contain,bungalow,208250
yes,Rimi gata,15,single room,duplex,125056
yes,Hawa dawai ke,15,self contain,bungalow,181526
yes,Danbare,10,single room,bungalow,144543
yes,Hawa dawai ke,10,self contain,bungalow,153850
yes,Danbare,15,single room,bungalow,134751
yes,Rimi gata,5,self contain,duplex,106413
yes,Jabulo,15,self contain,duplex,171403
yes,Danbare,15,single room,duplex,106113
yes,Jabulo,5,single room,bungalow,122144
yes,Jabulo,10,single room,bungalow,125116
yes,Rimi gata,5,single room,bungalow,105707
yes,Danbare,10,single room,bungalow,144793
yes,Hawa dawai ke,5,self contain,duplex,155015
yes,Danbare,10,self contain,bungalow,211939
yes,Rimi gata,15,self contain,duplex,153667
yes,Danbare,10,self contain,duplex,112069
yes,Jabulo,15,single room,duplex,125642
yes,Rimi gata,10,single room,bungalow,110304
yes,Jabulo,10,single room,bungalow,138925
yes,Jabulo,10,self contain,duplex,230220
yes,Jabulo,10,self contain,bungalow,119091
yes,Jabulo,10,single room,bungalow,106113
yes,Hawa dawai ke,5,self contain,duplex,123177
yes,Rimi gata,5,self contain,duplex,142403
yes,Danbare,10,single room,duplex,114414
yes,Rimi gata,15,self contain,duplex,137674
yes,Danbare,5,self contain,bungalow,141869
yes,Hawa dawai ke,10,self contain,duplex,147548
yes,Rimi gata,5,self contain,duplex,126663
yes,Hawa dawai ke,10,self contain,bungalow,199955
yes,Danbare,10,single room,bungalow,100351
yes,Jabulo,15,single room,duplex,128963
yes,Danbare,5,self contain,bungalow,144642
yes,Jabulo,5,self contain,duplex,102600
yes,Hawa dawai ke,5,self contain,duplex,100633
yes,Rimi gata,5,self contain,bungalow,229673
yes,Danbare,15,self contain,duplex,171427
yes,Rimi gata,5,single room,duplex,104572
yes,Hawa dawai ke,15,self contain,duplex,243424
yes,Hawa dawai ke,5,self contain,duplex,237816
yes,Jabulo,5,single room,bungalow,146741
yes,Jabulo,15,single room,bungalow,117417
yes,Hawa dawai ke,5,single room,bungalow,117229
yes,Jabulo,10,self contain,bungalow,224375
yes,Hawa dawai ke,15,single room,duplex,129609
yes,Hawa dawai ke,5,self contain,bungalow,200097
yes,Jabulo,15,single room,bungalow,138976
yes,Jabulo,15,single room,duplex,116193
yes,Rimi gata,10,single room,duplex,123678
yes,Danbare,10,single room,duplex,100022
yes,Hawa dawai ke,5,single room,duplex,141152
yes,Danbare,15,single room,bungalow,131563
yes,Hawa dawai ke,10,single room,duplex,101725
yes,Jabulo,15,self contain,bungalow,127399
yes,Jabulo,5,single room,duplex,121413
yes,Jabulo,15,self contain,duplex,198235
yes,Jabulo,5,self contain,bungalow,192111
yes,Danbare,10,single room,duplex,106848
yes,Danbare,5,single room,duplex,101109
yes,Jabulo,15,self contain,bungalow,241568
yes,Danbare,5,single room,bungalow,107485
yes,Danbare,15,self contain,bungalow,104917
yes,Jabulo,15,single room,duplex,125635
yes,Danbare,10,self contain,duplex,135355
yes,Jabulo,5,self contain,duplex,161831
yes,Jabulo,10,single room,bungalow,145292
yes,Hawa dawai ke,10,single room,bungalow,132301
yes,Danbare,15,single room,duplex,138844
yes,Danbare,15,self contain,bungalow,170287
yes,Danbare,10,self contain,duplex,247064
yes,Danbare,10,single room,duplex,138350
yes,Hawa dawai ke,5,self contain,bungalow,221323
yes,Jabulo,5,self contain,duplex,110326
yes,Rimi gata,5,single room,duplex,132243
yes,Hawa dawai ke,10,single room,bungalow,125059
yes,Danbare,10,single room,duplex,106087
yes,Jabulo,15,self contain,bungalow,225556
yes,Jabulo,5,single room,bungalow,111017
yes,Danbare,15,self contain,bungalow,206897
yes,Hawa dawai ke,15,single room,duplex,116343
yes,Rimi gata,10,self contain,bungalow,175235
yes,Danbare,5,single room,bungalow,125807
yes,Danbare,15,single room,bungalow,136364
yes,Hawa dawai ke,5,self contain,bungalow,246413
yes,Danbare,5,single room,bungalow,113139
yes,Hawa dawai ke,15,self contain,duplex,188247
yes,Jabulo,15,self contain,duplex,208765
yes,Hawa dawai ke,10,self contain,bungalow,165402
yes,Hawa dawai ke,5,self contain,duplex,220571
yes,Hawa dawai ke,10,single room,duplex,106049
yes,Danbare,10,single room,bungalow,109975
yes,Rimi gata,10,self contain,bungalow,118284
yes,Rimi gata,10,single room,duplex,127362
yes,Rimi gata,15,self contain,bungalow,174168
yes,Jabulo,15,single room,bungalow,108077
yes,Hawa dawai ke,15,self contain,bungalow,160182
yes,Rimi gata,10,single room,bungalow,130056
yes,Danbare,5,single room,duplex,139986
yes,Rimi gata,15,single room,bungalow,129897
yes,Hawa dawai ke,10,self contain,duplex,219766
yes,Jabulo,15,single room,duplex,102633
yes,Rimi gata,5,single room,duplex,122518
yes,Danbare,15,single room,bungalow,136358
yes,Danbare,5,single room,bungalow,103442
yes,Rimi gata,5,self contain,duplex,235554
yes,Rimi gata,10,self contain,duplex,209963
yes,Rimi gata,10,single room,bungalow,137812
yes,Jabulo,10,single room,duplex,145775
yes,Danbare,5,single room,duplex,144389
yes,Hawa dawai ke,5,self contain,bungalow,106221
yes,Rimi gata,15,single room,duplex,142223
yes,Danbare,10,self contain,bungalow,131329
yes,Hawa dawai ke,15,single room,bungalow,113577
yes,Danbare,15,single room,bungalow,129616
yes,Rimi gata,5,single room,bungalow,147415
yes,Jabulo,5,self contain,bungalow,132003
yes,Jabulo,10,single room,duplex,147228
yes,Rimi gata,15,self contain,bungalow,158038
yes,Jabulo,10,single room,bungalow,136795
yes,Jabulo,5,self contain,duplex,160494
yes,Jabulo,15,self contain,duplex,147547
yes,Danbare,5,self contain,bungalow,244278
yes,Rimi gata,5,self contain,duplex,192505
yes,Rimi gata,10,single room,duplex,122372
yes,Danbare,10,single room,bungalow,143972
yes,Rimi gata,5,self contain,bungalow,142195
yes,Rimi gata,15,self contain,duplex,196595
yes,Jabulo,5,self contain,duplex,167019
yes,Jabulo,10,self contain,bungalow,128849
yes,Hawa dawai ke,10,self contain,duplex,180605
yes,Hawa dawai ke,10,self contain,bungalow,171879
yes,Rimi gata,10,single room,duplex,138991
yes,Hawa dawai ke,10,self contain,bungalow,148293
yes,Danbare,5,single room,bungalow,102964
yes,Hawa dawai ke,5,single room,duplex,119814
yes,Danbare,15,self contain,duplex,150277
yes,Danbare,10,self contain,bungalow,116752
yes,Danbare,10,self contain,bungalow,105245
yes,Jabulo,10,single room,duplex,131540
yes,Danbare,10,self contain,duplex,149832
yes,Danbare,15,self contain,duplex,129080
yes,Jabulo,10,single room,bungalow,110867
yes,Hawa dawai ke,10,single room,duplex,145006
yes,Jabulo,5,single room,bungalow,120696
yes,Jabulo,15,self contain,duplex,180007
yes,Hawa dawai ke,5,self contain,bungalow,107648
yes,Jabulo,15,self contain,duplex,194945
yes,Danbare,15,self contain,bungalow,156327
yes,Jabulo,5,self contain,duplex,230180
yes,Jabulo,10,self contain,bungalow,205154
yes,Hawa dawai ke,10,single room,duplex,145229
yes,Rimi gata,5,single room,bungalow,140076
yes,Jabulo,10,single room,duplex,108999
yes,Rimi gata,5,single room,duplex,128936
yes,Jabulo,5,single room,duplex,108103
yes,Rimi gata,10,self contain,duplex,139160
yes,Rimi gata,5,single room,duplex,103533
yes,Hawa dawai ke,5,single room,bungalow,138557
yes,Danbare,15,single room,duplex,138987
yes,Rimi gata,15,single room,duplex,137732
yes,Danbare,10,single room,bungalow,128043
yes,Danbare,5,single room,bungalow,145734
yes,Hawa dawai ke,10,single room,duplex,144336
yes,Hawa dawai ke,10,self contain,bungalow,124823
yes,Hawa dawai ke,15,single room,bungalow,143428
yes,Danbare,10,single room,duplex,104628
yes,Danbare,5,single room,bungalow,143950
yes,Hawa dawai ke,15,self contain,duplex,173820
yes,Danbare,10,self contain,duplex,155298
yes,Danbare,10,single room,duplex,104474
yes,Hawa dawai ke,5,single room,duplex,114171
yes,Hawa dawai ke,15,self contain,duplex,123218
yes,Danbare,15,single room,duplex,145372
yes,Hawa dawai ke,15,single room,bungalow,132512
yes,Hawa dawai ke,10,single room,duplex,148311
yes,Jabulo,10,self contain,duplex,122832
yes,Rimi gata,5,single room,bungalow,145698
yes,Danbare,10,self contain,bungalow,140564
yes,Hawa dawai ke,5,single room,duplex,118594
yes,Rimi gata,15,single room,bungalow,118529
yes,Danbare,15,self contain,duplex,166678
yes,Jabulo,15,self contain,duplex,153294
yes,Jabulo,10,self contain,duplex,116583
yes,Hawa dawai ke,10,single room,duplex,133666
yes,Jabulo,15,single room,bungalow,116086
yes,Hawa dawai ke,10,self contain,bungalow,148628
yes,Hawa dawai ke,10,self contain,bungalow,176289
yes,Hawa dawai ke,15,single room,bungalow,126019
yes,Danbare,10,self contain,bungalow,189210
yes,Jabulo,15,self contain,bungalow,186222
yes,Hawa dawai ke,10,self contain,duplex,233820
yes,Rimi gata,10,single room,bungalow,103123
yes,Rimi gata,15,self contain,duplex,111853
yes,Rimi gata,5,single room,bungalow,105641
yes,Hawa dawai ke,15,self contain,duplex,101040
yes,Danbare,5,self contain,duplex,226221
yes,Hawa dawai ke,10,self contain,duplex,249070
yes,Jabulo,15,single room,duplex,144119
yes,Danbare,10,self contain,duplex,213394
yes,Hawa dawai ke,5,single room,duplex,137168
yes,Jabulo,15,single room,duplex,107757
yes,Danbare,10,self contain,duplex,217201
yes,Hawa dawai ke,15,single room,duplex,133449
yes,Hawa dawai ke,5,single room,bungalow,141860
yes,Rimi gata,15,self contain,duplex,245739
yes,Jabulo,5,self contain,duplex,181543
yes,Jabulo,10,single room,duplex,145471
yes,Hawa dawai ke,15,single room,bungalow,118649
yes,Hawa dawai ke,5,self contain,duplex,143490
yes,Rimi gata,5,self contain,bungalow,151013
yes,Hawa dawai ke,10,single room,duplex,141228
yes,Danbare,10,single room,duplex,130408
yes,Jabulo,5,single room,duplex,100200
yes,Jabulo,10,self contain,bungalow,241296
yes,Danbare,5,self contain,duplex,190852
yes,Hawa dawai ke,10,self contain,duplex,105269
yes,Danbare,15,single room,duplex,119416
yes,Danbare,15,self contain,bungalow,154917
yes,Danbare,10,single room,duplex,130138
yes,Rimi gata,15,self contain,bungalow,128834
yes,Rimi gata,10,single room,bungalow,102534
yes,Hawa dawai ke,10,single room,duplex,148669
